Samples	SBS1	SBS2	SBS5	SBS13	SBS32	SBS35	SBS37	SBS40	SBS46	SBS54
KiCS0365_19_19570_A_02_00	2	0	17	0	0	0	49	113	0	0
KiCS0366_19_20056_A_02_00	8	0	5	0	0	0	0	46	0	0
KiCS0366_20_11333_A_02_00	8	0	125	0	0	0	0	0	0	27
KiCS0370_19_21815_A_02_00	5	0	576	0	0	0	0	0	0	0
KiCS0371_19_22172_A_02_00	2	0	56	0	0	0	0	0	0	0
KiCS0374_20_3759_A_02_00	23	0	350	0	0	0	0	0	0	0
KiCS0374_20_3760_A_02_00	63	0	318	0	0	0	0	0	0	63
KiCS0375_20_484_A_02_00	0	0	1256	0	0	0	0	0	0	0
KiCS0376_19_23808_A_02_00	0	0	551	0	0	0	0	0	0	0
KiCS0377_20_18334_A_02_00	9	14	287	33	0	0	0	0	0	0
KiCS0378_19_25245_A_02_00	10	13	183	13	0	0	0	0	0	0
KiCS0379_20_18013_A_02_00	12	0	25	0	21	32	50	0	0	0
KiCS0380_19_25917_A_02_00	17	0	186	0	0	0	0	0	0	0
KiCS0383_19_25931_A_02_00	17	0	178	0	0	0	0	0	0	0
KiCS0386_20_425_A_02_00	25	0	261	0	0	0	0	0	0	0
KiCS0391_20_11161_A_02_00	17	28	57	26	0	0	0	80	0	0
KiCS0487_20_20203_A_02_00	33	0	355	0	0	0	0	0	0	0
LKCGP-P000101-244105-01-01-01-D1	17	0	229	0	0	0	0	0	0	71
LKCGP-P000102-248287-01-01-01-D1	12	0	170	0	0	0	0	0	0	55
LKCGP-P000103-246820-01-03-01-D1	15	0	304	0	0	0	0	0	0	0
LKCGP-P000104-250304-01-06-01-D1	21	0	258	0	0	0	0	0	0	55
LKCGP-P000105-249031-01-03-01-R1	35	0	264	0	0	0	0	0	0	43
LKCGP-P000106-244271-01-01-01-R3	23	0	188	0	0	0	0	0	148	98
LKCGP-P000107-257820-01-04-01-D1	25	37	143	29	0	0	0	176	0	0
LKCGP-P000108-255679-01-06-01-R1	7	0	274	0	0	0	0	0	0	0
LKCGP-P000201-244412-01-06-01-R1	3	0	202	0	0	123	0	0	0	0
LKCGP-P000202-248737-01-01-01-R1	27	0	686	0	0	0	0	0	0	0
LKCGP-P000203-245823-01-04-01-R1	3	0	179	0	0	0	0	0	0	44
LKCGP-P000204-251965-01-04-01-D1	4	0	110	0	0	0	0	0	0	0
LKCGP-P000205-251424-01-04-01-R1	6	0	261	0	0	0	0	0	0	0
LKCGP-P000206-245229-01-04-01-R3	25	0	260	0	0	0	0	0	0	56
LKCGP-P000207-256902-01-06-01-R4	12	0	176	0	0	0	0	0	0	0
LKCGP-P000208-256832-01-01-01-D1	5	0	253	36	0	0	0	0	0	0
LKCGP-P000301-244735-01-06-01-D1	19	0	149	0	0	0	0	0	0	55
LKCGP-P000302-249382-01-01-01-D1	72	0	473	0	0	0	0	0	215	145
LKCGP-P000303-248216-01-04-01-P3	26	0	340	0	0	0	0	0	0	99
LKCGP-P000304-255645-01-04-01-R2	8	0	143	0	0	0	0	0	0	0
LKCGP-P000305-251503-01-02-01-D2	6	0	138	0	0	0	0	0	0	0
LKCGP-P000305-251504-01-02-05-D1	0	0	230	0	0	0	0	0	0	0
LKCGP-P000306-244703-01-04-01-R2	21	0	161	0	0	0	0	0	75	55
LKCGP-P000307-250768-01-01-01-D1	10	0	62	0	0	0	61	135	0	0
LKCGP-P000308-257986-01-04-20-R1	11	0	310	0	0	0	0	0	0	0
LKCGP-P000401-244917-01-06-01-D1	6	0	107	0	0	0	0	0	0	36
LKCGP-P000402-249682-01-04-01-R1	17	0	271	0	0	0	0	0	0	44
LKCGP-P000403-255320-01-04-01-D1	0	0	111	0	0	0	0	0	0	0
LKCGP-P000404-257958-01-01-01-P2	6	0	241	0	0	0	0	0	0	0
LKCGP-P000405-261706-01-04-01-D1	10	0	172	0	0	0	0	0	0	0
LKCGP-P000406-244901-03-04-01-D1	0	0	97	0	0	0	55	0	0	0
LKCGP-P000407-255560-01-03-01-R2	10	0	149	0	0	0	0	0	0	0
LKCGP-P000408-259006-03-02-19-R1	30	0	184	0	0	0	0	0	0	0
LKCGP-P000501-245256-01-06-01-D1	8	0	104	0	0	0	0	0	0	0
LKCGP-P000502-250726-01-06-01-P1	35	0	368	0	0	0	0	0	0	0
LKCGP-P000503-255087-01-06-01-D1	33	0	278	0	0	0	0	0	0	0
LKCGP-P000504-259156-01-01-01-D1	12	0	353	0	0	0	0	0	0	0
LKCGP-P000505-266106-01-04-01-R2	14	0	253	0	0	0	0	0	0	0
LKCGP-P000506-245249-01-04-01-R3	27	0	330	0	0	0	0	0	0	117
LKCGP-P000507-256616-01-04-01-D1	14	0	113	0	0	0	0	0	0	0
LKCGP-P000508-260304-01-04-01-D1	6	0	137	0	0	0	0	0	0	0
